title	company	record	area	link	site_name
AI 컨설턴트	몬드리안에이아이	개발·데이터	인천 연수구 외 2	https://www.jobkorea.co.kr/Recruit/GI_Read/46308766?Oem_Code=C1&sc=212	잡코리아
백엔드 개발자	㈜온택트헬스	개발·데이터	서울 서대문구	https://www.jobkorea.co.kr/Recruit/GI_Read/46299586?Oem_Code=C1&sc=212	잡코리아
DevOps	㈜온택트헬스	개발·데이터	서울 서대문구	https://www.jobkorea.co.kr/Recruit/GI_Read/46299555?Oem_Code=C1&sc=212	잡코리아
Software Engineer (프론트엔드)	㈜부스터스	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46298446?Oem_Code=C1&sc=212	잡코리아
PG 플랫폼 개발	㈜엑심베이	개발·데이터	서울 구로구	https://www.jobkorea.co.kr/Recruit/GI_Read/46292962?Oem_Code=C1&sc=212	잡코리아
백엔드 엔지니어 (성수)	㈜엔젤로보틱스	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46284781?Oem_Code=C1&sc=212	잡코리아
임대형쇼핑몰 PHP 개발자	㈜유디아이디	개발·데이터	서울 구로구	https://www.jobkorea.co.kr/Recruit/GI_Read/46279336?Oem_Code=C1&sc=212	잡코리아
SW System Engineer(Seoul)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46278245?Oem_Code=C1&sc=212	잡코리아
Cybersecurity Manager	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46278181?Oem_Code=C1&sc=212	잡코리아
A-SPICE Quality Manager	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46278153?Oem_Code=C1&sc=212	잡코리아
시니어 Requirement 엔지니어 (서울)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46278107?Oem_Code=C1&sc=212	잡코리아
SAP ERP 운영담당자(Seoul)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46278059?Oem_Code=C1&sc=212	잡코리아
데이터 파이프라인 백엔드 엔지니어 (서울)	㈜스트라드비젼	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46277384?Oem_Code=C1&sc=212	잡코리아
클라우드 엔지니어	㈜엑심베이	개발·데이터	서울 구로구	https://www.jobkorea.co.kr/Recruit/GI_Read/46252724?Oem_Code=C1&sc=212	잡코리아
시니어 소프트웨어 엔지니어 Perception	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46250086?Oem_Code=C1&sc=212	잡코리아
시니어 소프트웨어 엔지니어 (임베디드 AI)	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46250071?Oem_Code=C1&sc=212	잡코리아
Simulation Software 엔지니어	토르드라이브	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46250058?Oem_Code=C1&sc=212	잡코리아
E커머스 솔루션 프론트엔드 개발자	㈜펫박스	개발·데이터	서울 마포구 외 5	https://www.jobkorea.co.kr/Recruit/GI_Read/46247519?Oem_Code=C1&sc=212	잡코리아
기술지원 엔지니어 경력	㈜에스티씨랩(STCLab.co.,Ltd.)	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46242713?Oem_Code=C1&sc=212	잡코리아
QA Engineer	㈜에스티씨랩(STCLab.co.,Ltd.)	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46242689?Oem_Code=C1&sc=212	잡코리아
대용량 트래픽 제어 엔진 개발	㈜에스티씨랩(STCLab.co.,Ltd.)	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46242682?Oem_Code=C1&sc=212	잡코리아
POS S/W 개발	㈜오케이포스	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46237781?Oem_Code=C1&sc=212	잡코리아
JAVA 풀스택 개발자	㈜디컴트루	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46233443?Oem_Code=C1&sc=212	잡코리아
백엔드 개발자 (3년이상)	그로들	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46231027?Oem_Code=C1&sc=212	잡코리아
AIoT 플랫폼 앱/서버 기술지원(5년 이상)	아카라라이프㈜	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46229857?Oem_Code=C1&sc=212	잡코리아
Data Engineer/DBA (경력채용)	㈜메타넷티플랫폼	개발·데이터	서울 강남구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46229279?Oem_Code=C1&sc=212	잡코리아
Azure Pre-sales (경력 채용)	㈜메타넷티플랫폼	개발·데이터	서울 종로구 외 5	https://www.jobkorea.co.kr/Recruit/GI_Read/46229254?Oem_Code=C1&sc=212	잡코리아
GNSS 소프트웨어 개발자	㈜이투비비	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46228229?Oem_Code=C1&sc=212	잡코리아
컨슈머 커머스 CTO 검색엔진 개발 경력	㈜커넥트웨이브	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46212619?Oem_Code=C1&sc=212	잡코리아
