| site_name | title | company | record | area |
| 원티드 | [SI 업무분석,설계,개발 (4년이상, 학사/석사)](https://www.wanted.co.kr/wd/255842) | 스카이웨어 | 경력 4-10년 | 서울 마포구 |
| 사람인 | [[서울] 전략기획본부 SW개발팀 네트워크운영및관리 경력 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50146458) | 스타법무법인 | 경력 4년↑ · 정규직 | 서울전체 외 |
| 원티드 | [앱/웹 개발자](https://www.wanted.co.kr/wd/263916) | 스타트앱 | 경력 5-10년 | 서울 강남구 |
| 원티드 | [프론트엔드 개발자 (6년 이상)](https://www.wanted.co.kr/wd/236006) | 스테이폴리오 | 경력 6년 이상 | 서울 종로구 |
| 원티드 | [서비스플랫폼팀 리드 (개발 팀장)](https://www.wanted.co.kr/wd/267447) | 스토어링크 | 경력 6-10년 | 서울 중구 |
| 원티드 | [Software Engineer (Graphic)](https://www.wanted.co.kr/wd/250058) | 스튜디오씨드코리아(프로토파이) | 경력 4-10년 | 서울 용산구 |
| 사람인 | [플랫폼 앱 Node.js 시니어 서버 개발자 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49688218) | 시놀(주) | 5 ~ 10년 · 정규직 | 서울전체 외 |
| 사람인 | [플랫폼 앱Node.js시니어 서버 개발자](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49851017) | 시놀(주) | 5 ~ 10년 · 정규직 | 서울전체 외 |
| 인크루트 | [[뚝섬역] 백엔드 엔지니어 (리더급)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501290000036) | 시니어앤파트너즈 | 경력7~15년 | 성동구 |
| 원티드 | [프론트엔드 개발자 채용 (웹 & 모바일)](https://www.wanted.co.kr/wd/268131) | 시어스랩(Seerslab) | 경력 3-10년 | 서울 서초구 |
